file,DDA_check,SF_check,Npp,Dmob,Dve,V/V0,Mtot/Mbc,core_Df,core_Df_error,Df,Df_error,x,coating_RI,wavelength,core_PSP,Cext,Qext,Cabs,Qabs,SSA,g,Cext_HS,Qext_HS,Cabs_HS,Qabs_HS,SSA_HS,g_HS,Cext_CS,Qext_CS,Cabs_CS,Qabs_CS,SSA_CS,g_CS
coated_2_1,TRUE,TRUE,28,0.178167,0.121537,1,1,1.76891,0.0282701,2.080580124,0,0.448060544,(1.6+0j),0.7,0.213940952,0.009513711,0.820055102,0.008699284,0.749853819,0.085605569,0.270920362,0.00947664,0.816859706,0.008327318,0.717791372,0.121279497,0.066140142,0.00947664,0.816859706,0.008327318,0.717791372,0.121279497,0.066140142
coated_2_2,TRUE,TRUE,28,0.212089,0.1526456,1.98733,1.65822,1.75672,0.032673,1.97919171,0,0.415192507,(1.6+0.29484j),0.3,0.499255732,0.050413231,2.754774583,0.032050442,1.75136053,0.36424543,0.725672459,0.048799339,2.666585297,0.027505314,1.502997113,0.436358884,0.551949912,0.046864708,2.560869516,0.026902186,1.470039876,0.425960649,0.534572068
coated_2_3,TRUE,TRUE,28,0.236641,0.1815406,3.33646,2.55764,1.74057,0.028973,2.298374493,0,0.391745984,(1.6+0j),1,0.156054314,0.008855559,0.342120092,0.007653154,0.29566713,0.135779697,0.199265715,0.008520509,0.329175956,0.007247823,0.280007812,0.149367359,0.070171217,0.008613814,0.332780651,0.007241674,0.279770261,0.159295288,0.057771417
coated_2_4,TRUE,TRUE,28,0.327625,0.28235,12.57361,8.71574,1.74511,0.0266969,3,0,0.358700415,(1.6+0j),1.15,0.139077807,0.015809796,0.252499665,0.007893581,0.126069092,0.500715805,0.192065297,0.015223141,0.243130142,0.007508746,0.119922846,0.50675451,0.12440501,0.016105206,0.257217688,0.008057526,0.128687466,0.499694334,0.114128387
coated_2_5,TRUE,TRUE,28,0.53896,0.50311,71.04145,47.6943,1.91471,0.00975629,3,0,0.342395266,(1.6+0.27529j),0.35,0.624598422,0.559272942,2.813248061,0.28748706,1.446113968,0.485962867,0.945100306,0.542404169,2.728394959,0.281177602,1.414376206,0.481608702,0.849102452,0.545490296,2.743918758,0.281353458,1.415260794,0.484219134,0.850771089
coated_2_6,TRUE,TRUE,28,0.501229,0.469836,58.0774,39.0516,1.90932,0.0145945,3,0,0.342085011,(1.6+0j),0.75,0.290638633,0.417843164,2.410076564,0.023135399,0.133442612,0.944631381,0.742832488,0.428089471,2.469176213,0.021358833,0.123195563,0.950106614,0.590373528,0.429137934,2.475223639,0.02414588,0.139270963,0.943733988,0.58641272
coated_2_7,TRUE,TRUE,28,0.511091,0.471102,58.33915,39.2261,2.02989,0.0225933,3,0,0.344345307,(1.6+0.10356j),0.95,0.276282634,0.290538236,1.666800098,0.109272914,0.626892026,0.623894895,0.722318946,0.294799105,1.691244447,0.110422432,0.633486746,0.625431589,0.57730297,0.29412868,1.687398257,0.111154902,0.637688879,0.622087509,0.572965173
coated_2_8,TRUE,TRUE,28,0.312874,0.279128,12.149665,8.43311,2.00719,0.0230112,3,0,0.352915144,(1.6+0.1896j),0.75,0.374939676,0.078205819,1.278033909,0.046276413,0.756245839,0.408274043,0.409386333,0.077251459,1.262437832,0.045567243,0.744656629,0.410143922,0.329481798,0.078718447,1.286411243,0.046392076,0.758135998,0.410658138,0.30520221
coated_2_9,TRUE,TRUE,28,0.54937,0.516002,76.6045,51.403,2.01789,0.0275762,3,0,0.34150122,(1.6+0.01122j),0.75,0.427832005,0.553104995,2.644934549,0.0448233,0.214343924,0.918960594,0.753869563,0.557595421,2.666407654,0.04160576,0.198957726,0.925383605,0.612971851,0.552553513,2.642297372,0.046330461,0.22155113,0.916152083,0.60706696
coated_2_10,TRUE,TRUE,28,0.448171,0.413946,39.6703,26.7802,2.00428,0.0149239,3,0,0.344664701,(1.6+0j),1,0.335681724,0.112593234,0.836633082,0.013900786,0.10329091,0.876539773,0.497760586,0.1096656,0.814879062,0.01211468,0.090019107,0.889530716,0.395810009,0.112423802,0.835374101,0.014407026,0.107052565,0.87185075,0.378379255
